"","phrase","coefficient"
"3064","simpl equat",0.0113
"3065","natur govern",0.0114
"3066","along varieti",0.012
"3067","lead busi",0.0121
"3068","mobil privat",0.0121
"3069","11a notion",0.0122
"3070","cap found",0.0125
"3071","decis posit",0.0129
"3072","defens reagan",0.013
"3073","provid rhode",0.0132
"3074","largest port",0.0142
"3075","tomorrow need",0.0143
"3076","recent center",0.0151
"3077","care trump",0.016
"3078","immigr firm",0.0162
"3079","industri plant",0.0162
"3080","acr arctic",0.0163
"3081","stronger futur",0.0163
"3082","climat center",0.0164
"3083","fulli bought",0.0172
"3084","hire immigr",0.0172
"3085","jewish religi",0.0173
"3086","oppon better",0.0178
"3087","peopl avail",0.0178
"3088","lead prayer",0.0189
"3089","pew report",0.019
"3090","billion allow",0.0191
"3091","one drastic",0.0194
"3092","bid reduc",0.0197
"3093","program wap",0.02
"3094","ing org",0.0212
"3095","10 yearsfar",0.0214
"3096","progress point",0.0226
"3097","ap vadim",0.0234
"3098","train help",0.0234
"3099","anoth 118",0.0235
"3100","1920s gross",0.0239
"3101","borrow incom",0.0255
"3102","creation year",0.0268
"3103","compound gender",0.0272
"3104","alreadi afford",0.0274
"3105","conven presid",0.0274
"3106","juli ajinkya",0.0274
"3107","among recommend",0.0275
"3108","broadbas econom",0.0282
"3109","lead deport",0.0287
"3110","plan heavili",0.0288
"3111","analysi 228000",0.0299
"3112","antagonist revers",0.03
"3113","work amount",0.031
"3114","except loos",0.0314
"3115","santorum rpa",0.0317
"3116","search colder",0.0321
"3117","cover thus",0.0327
"3118","america voic",0.0342
"3119","need found",0.0357
"3120","progress analysi",0.0361
"3121","progress succeed",0.0362
"3122","council center",0.0365
"3123","14400 overdos",0.0379
"3124","action pari",0.0382
"3125","reduct improv",0.0394
"3126","color includ",0.0399
"3127","head unmarri",0.0405
"3128","among pennsylvania",0.0406
"3129","2010 135pm",0.0407
"3130","breaux thoma",0.0412
"3131","propos announc",0.0422
"3132","pound annual",0.0431
"3133","platform campaign",0.0447
"3134","progress column",0.0447
"3135","function marketplac",0.045
"3136","aisha moodiemil",0.0488
"3137","agenda everi",0.0492
"3138","dan tarullo",0.0492
"3139","mobil voter",0.05
"3140","water land",0.0515
"3141","discuss currenc",0.052
"3142","zonta senior",0.0533
"3143","base extrem",0.0543
"3144","2014 suit",0.0553
"3145","recreat tourism",0.057
"3146","colleagu danyell",0.0575
"3147","health import",0.058
"3148","land north",0.0591
"3149","progress recent",0.061
"3150","allin nation",0.0629
"3151","bridg public",0.0637
"3152","tracey ross",0.0646
"3153","66 trillion",0.066
"3154","video make",0.066
"3155","progress propos",0.0701
"3156","impact see",0.0703
"3157","progress found",0.0725
"3158","1 latino",0.0751
"3159","annual solar",0.0755
"3160","2011 905am",0.0775
"3161","program twothird",0.0775
"3162","american progressgood",0.0813
"3163","develop job",0.0826
"3164","arent work",0.084
"3165","10000 megawatt",0.0853
"3166","home late",0.0886
"3167","ineffect redund",0.0892
"3168","current 31",0.0895
"3169","movement opportun",0.0902
"3170","1000 employ",0.0909
"3171","2517 legisl",0.0918
"3172","tarullo senior",0.0946
"3173","perstat basi",0.0948
"3174","recommend center",0.0968
"3175","end conserv",0.0973
"3176","progress colleagu",0.0981
"3177","colleagu aisha",0.099
"3178","bowl alan",0.0994
"3179","repeal plan",0.1002
"3180","11 anniversari",0.1017
"3181","still weigh",0.1033
"3182","associ gas",0.1037
"3183","keep roof",0.1048
"3184","15 membersw",0.1062
"3185","global clean",0.1128
"3186","100000new member",0.1138
"3187","arizona extrem",0.1153
"3188","colder water",0.1173
"3189","seth hanlon",0.1221
"3190","progress applaud",0.1275
"3191","15 transit",0.1279
"3192","import aca",0.1285
"3193","reviv doha",0.1294
"3194","point center",0.131
"3195","clean economi",0.1337
"3196","report attach",0.1438
"3197","20 learn",0.145
"3198","1070 los",0.1479
"3199","10000 median",0.1482
"3200","product partnership",0.1489
"3201","testimoni pdf",0.1523
"3202","2014 958am",0.1532
"3203","pollut black",0.1547
"3204","11000 hit",0.1588
"3205","found race",0.1604
"3206","world renew",0.161
"3207","aca women",0.1662
"3208","although want",0.1697
"3209","2011 snowden",0.1704
"3210","indian nativ",0.1704
"3211","basi respect",0.1711
"3212","provid 65",0.1728
"3213","2001 effort",0.1729
"3214","like root",0.174
"3215","open skill",0.1746
"3216","natur area",0.1769
"3217","cap progress",0.1859
"3218","1007am congress",0.1885
"3219","access flexibl",0.1888
"3220","245 time",0.1932
"3221","1258pm snide",0.1967
"3222","nevada colorado",0.1986
"3223","quarter receiv",0.2022
"3224","negoti copenhagen",0.2034
"3225","substanc misus",0.2066
"3226","135 year",0.2085
"3227","24th raid",0.2098
"3228","abund us",0.2122
"3229","detail posit",0.215
"3230","assist half",0.2226
"3231","yglesia center",0.2325
"3232","renew invest",0.2434
"3233","definedcontribut approach",0.251
"3234","vote easier",0.2537
"3235","known warn",0.2566
"3236","degrad redd",0.2639
"3237","premis dodd",0.2715
"3238","bare rippl",0.2879
"3239","crime wit",0.2886
"3240","anoth 36",0.2953
"3241","found whop",0.2965
"3242","produc hydraul",0.2979
"3243","equip knowhow",0.2995
"3244","household minor",0.3016
"3245","goal 2020",0.3198
"3246","1070and copycat",0.3201
"3247","york fort",0.3409
"3248","much assum",0.3441
"3249","commiss chairmen",0.357
"3250","americansat riskslash",0.3981
"3251","michela zonta",0.4121
"3252","acknowledg threat",0.5042
"3253","100 billssh",0.5614
